company_name,investor_name,investor_type
Runway,Google,Strategic/Corporate
Runway,Salesforce Ventures,Strategic/Corporate
Runway,NVIDIA,Strategic/Corporate
Runway,Lux Capital,VC Fund
Runway,Amplify Partners,VC Fund
Runway,Compound,Other/Angel
Runway,Ann Miura-Ko,Other/Angel
Runway,Eric Schmidt,Other/Angel
Synthesia,NEA,Tier 1 VC
Synthesia,GV (Google Ventures),Strategic/Corporate
Synthesia,Accel,Tier 1 VC
Synthesia,Kleiner Perkins,Tier 1 VC
Synthesia,MMC Ventures,VC Fund
Synthesia,WiL (World Innovation Lab),Other/Angel
Synthesia,Atlassian Ventures,VC Fund
Synthesia,PSP Growth,Other/Angel
MiniMax,MiHoYo,Other/Angel
MiniMax,Alibaba,Other/Angel
MiniMax,Tencent,Other/Angel
MiniMax,Hillhouse Investment,Other/Angel
MiniMax,HongShan (Sequoia China),Tier 1 VC
MiniMax,IDG Capital,VC Fund
MiniMax,Yunqi Capital,VC Fund
ElevenLabs,a16z,Tier 1 VC
ElevenLabs,Sequoia Capital,Tier 1 VC
ElevenLabs,ICONIQ Growth,Other/Angel
ElevenLabs,NEA,Tier 1 VC
ElevenLabs,Smash Capital,VC Fund
ElevenLabs,Salesforce Ventures,Strategic/Corporate
ElevenLabs,SV Angel,Other/Angel
ElevenLabs,NFDG,Other/Angel
ElevenLabs,BroadLight Capital,VC Fund
ElevenLabs,Lunate (Abu Dhabi),Other/Angel
ElevenLabs,Deutsche Telekom,Other/Angel
ElevenLabs,LG Technology Ventures,VC Fund
ElevenLabs,HubSpot Ventures,VC Fund
Moonvalley,General Catalyst,Other/Angel
Moonvalley,Khosla Ventures,VC Fund
Moonvalley,Bessemer Venture Partners,VC Fund
Moonvalley,Creative Artists Agency (CAA),Other/Angel
Moonvalley,CoreWeave,Other/Angel
Moonvalley,Comcast Ventures,VC Fund
Moonvalley,YCombinator,Other/Angel
Higgsfield AI,Accel,Tier 1 VC
Higgsfield AI,Menlo Ventures,VC Fund
Higgsfield AI,GFT Ventures,VC Fund
Higgsfield AI,AI Capital Partners (Alpha Intelligence Capital),Strategic/Corporate
Higgsfield AI,BroadLight Capital,VC Fund
Higgsfield AI,NextEquity Partners,VC Fund
Higgsfield AI,Alpha Square Group,Other/Angel
Pika,Spark Capital,VC Fund
Pika,Lightspeed Venture Partners,Tier 1 VC
Pika,Greycroft,Other/Angel
Pika,Jared Leto,Other/Angel
Pika,Adam D'Angelo (Quora),Other/Angel
Pika,Nat Friedman,Other/Angel
Pika,Daniel Gross,Other/Angel
Pika,Homebrew,Other/Angel
Pika,Conviction Partners,VC Fund
Luma AI,HUMAIN (Saudi sovereign wealth fund),Sovereign Wealth
Luma AI,AMD Ventures,VC Fund
Luma AI,Amazon,Strategic/Corporate
Luma AI,Andreessen Horowitz (a16z),Tier 1 VC
Luma AI,Amplify Partners,VC Fund
Luma AI,Matrix Partners,VC Fund
Luma AI,NVIDIA Ventures,Strategic/Corporate
Luma AI,General Catalyst,Other/Angel
Luma AI,Hanwha Corporation,Other/Angel
Luma AI,LDV Capital,VC Fund
HeyGen,Benchmark,Tier 1 VC
HeyGen,Conviction (Sarah Guo),Other/Angel
HeyGen,Thrive Capital,VC Fund
HeyGen,BOND Capital,VC Fund
HeyGen,SV Angel,Other/Angel
HeyGen,Sequoia China (now HongShan),Tier 1 VC
HeyGen,ZhenFund,Other/Angel
HeyGen,Basis Set Ventures,VC Fund
Twelve Labs,New Enterprise Associates (NEA),Tier 1 VC
Twelve Labs,Index Ventures,VC Fund
Twelve Labs,Radical Ventures,VC Fund
Twelve Labs,Intel Capital,Strategic/Corporate
Twelve Labs,NVIDIA,Strategic/Corporate
Twelve Labs,Samsung Next,Other/Angel
